address_id;pesel;moved_date
1;7510170080231;2000-08-14
2;7409294874292;1996-02-08
3;6206123650157;1991-05-30
4;7607052338239;2002-05-14
5;6105288818237;1981-07-25
6;6201311712136;1981-07-23
7;6102186474241;1980-07-19
8;6810014834195;1994-09-21
9;7502168266273;1996-02-17
10;6707017222172;1994-05-31
11;7603277762271;2002-02-03
12;7904156574288;2001-09-22
13;7003117250150;1992-04-07
14;6908084570261;1990-03-12
15;6101070616168;1985-09-15
16;7710301384248;2004-10-31
17;6810141254228;1987-06-22
18;6203258366247;1985-10-26
19;6701036866247;1986-10-27
20;7904192440248;2001-11-09
21;6202268354230;1990-08-24
22;6604147316212;1994-12-09
23;6605264178293;1989-08-21
24;6902010168237;1996-01-23
25;6105267558253;1980-02-15
26;7802183708258;2004-12-23
27;6105247323175;1988-11-25
28;6006064641163;1981-03-18
29;7007075141178;1991-06-30
30;7006106189232;1997-04-09
31;6606214679271;1993-03-10
32;7911254485306;2001-07-29
33;6504205827201;1993-06-19
34;7906077029283;2003-02-20
35;7308300069236;2000-08-13
36;7605295621237;2002-01-28
37;6508236865251;1994-07-04
38;6908162585294;1991-03-03
39;7606055201170;1997-11-30
40;6005172711146;1983-05-11
41;6611112783222;1995-01-02
42;7702255351237;2000-08-22
43;6511252861221;1989-02-19
44;7207191331196;1997-11-15
45;6401187271241;1991-10-23
46;7612155213201;1995-08-09
47;7105290443217;1990-10-24
48;6307053253194;1986-06-21
49;7105261359249;1993-04-30
50;6911191321224;1999-08-06
50;7305314128210;1999-08-06
51;0024263246159;2028-07-02
52;6808230471231;1994-08-25
52;7001234504148;1994-08-25
53;9007268084272;2011-09-09
54;7309168053234;2004-04-30
54;7602151186269;2004-04-30
54;9601218408233;1996-01-21
55;002527221095;2025-05-12
56;6302192253223;1989-12-23
56;6607010362181;1989-12-23
57;9203181142217;2018-05-07
58;6404094861230;1987-09-05
58;6808144150213;1987-09-05
58;9307230288278;1993-07-23
59;9908074374307;2020-07-25
60;7605273027253;2006-11-11
60;7806015862223;2006-11-11
60;0526088138211;2005-06-08
61;7709164285293;2007-12-14
61;8004143386239;2007-12-14
61;0330108276170;2003-10-10
61;0522040424121;2005-02-04
61;0829203666200;2008-09-20
62;7802101857235;2006-02-04
62;8102201704137;2006-02-04
63;0031094578209;2029-05-19
62;0532092862191;2005-12-09
62;0923262386255;2009-03-26
62;112812610072;2011-08-12
64;7009306235181;1999-03-27
64;7306306006177;1999-03-27
64;9703020732195;1997-03-02
65;6911121551204;1992-02-15
65;7210083174237;1992-02-15
66;0122086312115;2021-12-25
65;0532043068193;2005-12-04
67;6206125427183;1995-01-03
67;6608170022194;1995-01-03
68;8607123720178;2011-01-28
67;8812086732255;1988-12-08
69;9311146814206;2016-11-25
67;9807277154306;1998-07-27
67;0227167510113;2002-07-16
67;0730284324193;2007-10-28
67;1226297074228;2012-06-29
67;1625036376209;2016-05-03
70;6909075067293;2000-03-21
70;7104096724208;2000-03-21
70;9303194748288;1993-03-19
70;9906201654250;1999-06-20
70;0332120586174;2003-12-12
70;0824196646240;2008-04-19
70;1323170726164;2013-03-17
70;1821224824170;2018-01-22
70;2330183388253;2023-10-18
70;2528041112122;2025-08-04
70;3027021666159;2030-07-02
71;6005141775204;1991-05-03
71;6205153528205;1991-05-03
72;9307086756277;2022-02-14
71;9504064652239;1995-04-06
73;7607160739260;2004-07-14
73;7803116232199;2004-07-14
74;9703152654262;2016-11-14
75;0032055080133;2020-12-29
76;6706202401144;2000-09-11
76;7107013226155;2000-09-11
77;9501238088308;2016-09-04
78;0028102764118;2025-03-05
79;6007036659214;1990-09-12
79;6308293772257;1990-09-12
80;8812083710214;2017-10-28
81;9011267518236;2010-12-17
82;6202030471165;1992-02-03
82;6508146662226;1992-02-03
83;9404221046226;2018-05-29
82;9906198720271;1999-06-19
82;0524292126193;2005-04-29
82;0828143372196;2008-08-14
84;7406204125181;2004-06-08
84;7801113642201;2004-06-08
84;032313230283;2003-03-13
84;0731256666232;2007-11-25
85;6803296485323;1992-11-03
85;7101227344191;1992-11-03
86;9601086330228;2016-11-04
87;6605046031181;1987-08-18
87;6805038526225;1987-08-18
87;0030235250110;2000-10-23
88;7606286131238;2002-07-22
88;7807083708254;2002-07-22
89;6711221239234;1990-11-29
89;7105226256214;1990-11-29
90;6409233109203;1988-04-22
90;6712117866249;1988-04-22
90;9106187782273;1991-06-18
91;7103044387237;1999-11-03
91;7308084886282;1999-11-03
91;9505297138307;1995-05-29
92;0026010178139;2025-11-16
91;0422252282183;2004-02-25
93;7104100651141;1999-03-20
93;7411033266223;1999-03-20
94;7909096131251;2003-02-14
94;8106254436223;2003-02-14
94;0928285824220;2009-08-28
94;1129025572142;2011-09-02
95;7303182337237;2002-10-22
95;7502018224179;2002-10-22
95;0128155814125;2001-08-15
95;0728058032163;2007-08-05
96;6903297577339;1992-12-27
96;7309204764212;1992-12-27
