pesel;name;surname;second_surname;city;gender;birthday
0024263246159;KRYSTYNA;JABŁOŃSKI;JABŁOŃSKI;Augustów;K;2000-04-26
9007268084272;ZUZANNA;ZIELIŃSKI;ZIELIŃSKI;Kraków;K;1990-07-26
9601218408233;PATRYCJA;ZAJĄCZKOWSKI;ZAJĄCZKOWSKI;Inowrocław;K;1996-01-21
002527221095;ANNA;ZAJĄCZKOWSKI;ZAJĄCZKOWSKI;Inowrocław;K;2000-05-27
9203181142217;ANNA;GÓRSKI;GÓRSKI;Mysłowice;K;1992-03-18
9307230288278;KAZIMIERA;BIAŁEK;BIAŁEK;Poznań;K;1993-07-23
9908074374307;AGATA;BIAŁEK;BIAŁEK;Poznań;K;1999-08-07
0526088138211;EDYTA;RYBAK;RYBAK;Police;K;2005-06-08
0330108276170;ANNA;GŁOWACKI;GŁOWACKI;Słupsk;K;2003-10-10
0522040424121;URSZULA;GŁOWACKI;GŁOWACKI;Słupsk;K;2005-02-04
0829203666200;HANNA;GŁOWACKI;GŁOWACKI;Słupsk;K;2008-09-20
0031094578209;MIROSŁAWA;NOWICKI;NOWICKI;Warszawa;K;2000-11-09
0532092862191;ALEKSANDRA;NOWICKI;NOWICKI;Warszawa;K;2005-12-09
0923262386255;FRANCISZKA;NOWICKI;NOWICKI;Warszawa;K;2009-03-26
112812610072;JOLANTA;NOWICKI;NOWICKI;Warszawa;K;2011-08-12
9703020732195;MONIKA;ANTCZAK;ANTCZAK;Głogów;K;1997-03-02
0122086312115;ZOFIA;WĄSIK;WĄSIK;Sulechów;K;2001-02-08
0532043068193;WIOLETTA;WĄSIK;WĄSIK;Sulechów;K;2005-12-04
8607123720178;HALINA;KULA;KULA;Sulejówek;K;1986-07-12
8812086732255;JANINA;KULA;KULA;Sulejówek;K;1988-12-08
9311146814206;LEOKADIA;KULA;KULA;Sulejówek;K;1993-11-14
9807277154306;NATALIIA;KULA;KULA;Sulejówek;K;1998-07-27
0227167510113;MARZENA;KULA;KULA;Sulejówek;K;2002-07-16
0730284324193;DOMINIKA;KULA;KULA;Sulejówek;K;2007-10-28
1226297074228;KLAUDIA;KULA;KULA;Sulejówek;K;2012-06-29
1625036376209;ALICJA;KULA;KULA;Sulejówek;K;2016-05-03
9303194748288;MAGDALENA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;1993-03-19
9906201654250;KATARZYNA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;1999-06-20
0332120586174;KATARZYNA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2003-12-12
0824196646240;KATARZYNA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2008-04-19
1323170726164;URSZULA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2013-03-17
1821224824170;MARTA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2018-01-22
2330183388253;BARBARA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2023-10-18
2528041112122;ANNA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2025-08-04
3027021666159;BARBARA;KOZŁOWSKI;KOZŁOWSKI;Legnica;K;2030-07-02
9307086756277;AGATA;WÓJTOWICZ;WÓJTOWICZ;Ruda Śląska;K;1993-07-08
9504064652239;ANETA;WÓJTOWICZ;WÓJTOWICZ;Ruda Śląska;K;1995-04-06
9703152654262;AGNIESZKA;BRZEZIŃSKI;BRZEZIŃSKI;Wrocław;K;1997-03-15
0032055080133;BOGUMIŁA;BRZEZIŃSKI;BRZEZIŃSKI;Wrocław;K;2000-12-05
9501238088308;PATRYCJA;LIS;LIS;Lublin;K;1995-01-23
0028102764118;ZUZANNA;LIS;LIS;Lublin;K;2000-08-10
8812083710214;ZUZANNA;RUTKOWSKI;RUTKOWSKI;Chorzów;K;1988-12-08
9011267518236;MARIA;RUTKOWSKI;RUTKOWSKI;Chorzów;K;1990-11-26
9404221046226;BOŻENA;WALKOWIAK;WALKOWIAK;Słupsk;K;1994-04-22
9906198720271;MONIKA;WALKOWIAK;WALKOWIAK;Słupsk;K;1999-06-19
0524292126193;DANUTA;WALKOWIAK;WALKOWIAK;Słupsk;K;2005-04-29
0828143372196;MARTA;WALKOWIAK;WALKOWIAK;Słupsk;K;2008-08-14
032313230283;WŁADYSŁAWA;ŁUCZAK;ŁUCZAK;Elbląg;K;2003-03-13
0731256666232;IRMINA;ŁUCZAK;ŁUCZAK;Elbląg;K;2007-11-25
9601086330228;LEOKADIA;ŻURAWSKI;ŻURAWSKI;Drawsko Pomorskie;K;1996-01-08
0030235250110;IRENA;CHRZANOWSKI;CHRZANOWSKI;Lubin;K;2000-10-23
9106187782273;DOROTA;KAŁUŻNY;KAŁUŻNY;Ostrowiec Świętokrzyski;K;1991-06-18
9505297138307;ZOFIA;GRZELAK;GRZELAK;Ostrów Wielkopolski;K;1995-05-29
0026010178139;NATALIA;GRZELAK;GRZELAK;Ostrów Wielkopolski;K;2000-06-01
0422252282183;ZUZANNA;GRZELAK;GRZELAK;Ostrów Wielkopolski;K;2004-02-25
0928285824220;ALEKSANDRA;SIKORA;SIKORA;Skarżysko-Kamienna;K;2009-08-28
1129025572142;WIOLETTA;SIKORA;SIKORA;Skarżysko-Kamienna;K;2011-09-02
0128155814125;DAGMARA;JASIŃSKI;JASIŃSKI;Kłobuck;K;2001-08-15
0728058032163;ANNA;JASIŃSKI;JASIŃSKI;Kłobuck;K;2007-08-05
0321244808150;MARIANNA;RÓŻYCKI;RÓŻYCKI;Łomża;K;2003-01-24
1027086644166;JANINA;MUSIAŁ;MUSIAŁ;Wrocław;K;2010-07-08
9509248172273;KAROLINA;MAZURKIEWICZ;MAZURKIEWICZ;Tarnowskie Góry;K;1995-09-24
0828022330120;ALICJA;SZYMCZYK;SZYMCZYK;Gdańsk;K;2008-08-02
1025287464201;MARTYNA;SZYMCZYK;SZYMCZYK;Gdańsk;K;2010-05-28
0129071512102;ANITA;GAWRON;GAWRON;Białystok;K;2001-09-07
0626131588220;KATARZYNA;GAWRON;GAWRON;Białystok;K;2006-06-13
1030090170145;OLIWIA;GAWRON;GAWRON;Białystok;K;2010-10-09
9012264020176;MONIKA;SZCZERBA;SZCZERBA;Swarzędz;K;1990-12-26
8706234276285;LILLA;KUC;KUC;Płock;K;1987-06-23
0322102276151;ANETA;NOWAK;NOWAK;Mysłowice;K;2003-02-10
0124230418125;SYLWIA;JANKOWSKI;JANKOWSKI;Tarnowskie Góry;K;2001-04-23
1228294118196;BOŻENA;STACHOWIAK;STACHOWIAK;Dąbrowa Górnicza;K;2012-08-29
1624222208157;MARZENA;STACHOWIAK;STACHOWIAK;Dąbrowa Górnicza;K;2016-04-22
1825248570214;AGNIESZKA;STACHOWIAK;STACHOWIAK;Dąbrowa Górnicza;K;2018-05-24
9002096380239;MARIA;STAŃCZYK;STAŃCZYK;Biskupiec;K;1990-02-09
9512028264243;IZABELA;STAŃCZYK;STAŃCZYK;Biskupiec;K;1995-12-02
9011116380194;NADIA;MAKOWSKI;MAKOWSKI;Olsztyn;K;1990-11-11
9812157274300;BARBARA;KUBIK;KUBIK;Zielona Góra;K;1998-12-15
0224226508135;IZABELA;KUBIK;KUBIK;Zielona Góra;K;2002-04-22
0824170074215;EWA;KUBIK;KUBIK;Zielona Góra;K;2008-04-17
9606255740240;BARBARA;SZCZEPAŃSKI;SZCZEPAŃSKI;Wołomin;K;1996-06-25
9901214188311;AGNIESZKA;SZCZEPAŃSKI;SZCZEPAŃSKI;Wołomin;K;1999-01-21
032420242077;PATRYCJA;SZCZEPAŃSKI;SZCZEPAŃSKI;Wołomin;K;2003-04-20
9911115522216;MAŁGORZATA;LEWICKI;LEWICKI;Wrocław;K;1999-11-11
9503281206240;ANNA;MALICKI;MALICKI;Toruń;K;1995-03-28
9506278036282;MARIA;MORAWSKI;MORAWSKI;Rzeszów;K;1995-06-27
9204032642182;IRENA;BUKOWSKI;BUKOWSKI;Kamienna Góra;K;1992-04-03
9611154214222;NADIA;BUKOWSKI;BUKOWSKI;Kamienna Góra;K;1996-11-15
9812142858294;MAŁGORZATA;BUKOWSKI;BUKOWSKI;Kamienna Góra;K;1998-12-14
8901310516226;KRYSTYNA;STĘPIEŃ;STĘPIEŃ;Gdynia;K;1989-01-31
9101207024174;MARIKA;STĘPIEŃ;STĘPIEŃ;Gdynia;K;1991-01-20
